;departamento;sexo;edad;direccion;t_familia;padres_status;madre_edu;padre_edu;madre_trab;padre_trab;razon;guardian;t_examen;t_estudio;faltas;soporte_edu_extra;soporte_edu_fam;monitores;actividades_extra;preuniversitario;postgrado;internet;relacion_sen;relacion_fam;tiempo_libre;salir_amigos;cons_alcohol_sem;cons_alcohol_finde;salud;ausencias;nota_01;nota_02;nota_03
30;II;H;15;U;mayor_3;J;4;4;salud;servicios;recomendacion;madre;1;2;0;no;si;si;no;no;si;yes;no;5;4;2;3;4;5;0;10;11;11
31;II;H;15;U;mayor_3;J;4;4;servicios;servicios;reputacion;madre;2;2;0;no;si;no;si;si;si;yes;no;4;3;1;1;1;5;2;15;15;15
32;II;H;15;R;mayor_3;J;4;3;profesor;en_casa;habilidad;madre;1;2;0;no;si;no;si;si;si;yes;yes;4;5;2;1;1;5;0;13;14;15
33;II;H;15;U;menor_e3;J;3;3;otro;otro;habilidad;madre;1;2;0;no;no;no;si;no;si;yes;no;5;3;2;1;1;2;0;13;12;12
34;II;H;16;U;mayor_3;J;3;2;otro;otro;recomendacion;madre;1;1;0;no;si;no;no;no;si;yes;no;5;4;3;1;1;5;4;12;12;12
35;II;M;15;U;mayor_3;J;2;3;otro;otro;otro;padre;2;1;0;no;si;no;si;si;si;no;no;3;5;1;1;1;5;4;11;11;11
36;II;H;15;U;menor_e3;J;4;3;profesor;servicios;recomendacion;madre;1;3;0;no;si;no;si;si;si;yes;no;5;4;3;1;1;4;0;14;14;14
37;II;H;16;R;mayor_3;S;4;4;otro;profesor;reputacion;madre;2;3;0;no;si;no;si;si;si;yes;yes;2;4;3;1;1;5;4;13;13;13
38;II;M;15;R;mayor_3;J;3;4;servicios;salud;habilidad;madre;1;3;0;si;si;no;si;si;si;yes;no;4;3;2;1;1;5;2;11;12;12
39;II;M;15;R;mayor_3;J;2;2;en_casa;otro;reputacion;madre;1;1;0;si;si;no;si;si;si;no;no;4;3;1;1;1;2;8;14;13;12
40;II;M;16;U;menor_e3;J;2;2;otro;otro;recomendacion;madre;2;2;0;no;si;no;si;no;si;yes;yes;3;3;3;1;2;3;16;11;11;10
41;II;H;15;U;menor_e3;J;4;4;profesor;otro;recomendacion;otro;1;1;0;no;si;no;no;no;si;yes;yes;5;4;3;2;4;5;8;10;11;11
42;II;H;15;U;mayor_3;J;4;4;servicios;profesor;habilidad;padre;1;2;0;no;si;no;si;si;si;yes;no;4;3;3;1;1;5;0;14;15;15
43;II;H;15;U;mayor_3;J;2;2;servicios;servicios;habilidad;padre;1;1;0;si;si;no;no;si;si;yes;no;5;4;1;1;1;1;0;9;10;10
44;II;M;16;U;menor_e3;J;2;2;otro;en_casa;habilidad;padre;2;2;1;si;no;no;si;si;si;yes;no;4;3;3;2;2;5;14;10;11;11
45;II;M;15;U;menor_e3;S;4;3;otro;otro;habilidad;madre;1;2;0;si;si;si;si;si;si;yes;yes;5;2;2;1;1;5;4;10;11;11
46;II;M;16;U;menor_e3;S;3;3;otro;servicios;recomendacion;madre;1;2;0;no;si;no;no;si;si;yes;no;2;3;5;1;4;3;6;13;12;13
47;II;H;16;U;mayor_3;J;4;3;salud;servicios;reputacion;madre;1;4;0;no;no;no;si;si;si;yes;no;4;2;2;1;1;2;2;17;17;17
48;II;H;15;U;mayor_3;J;4;2;profesor;otro;recomendacion;madre;1;2;0;no;si;no;no;si;si;no;no;4;3;3;2;2;5;4;11;12;13
49;II;M;15;U;mayor_3;J;4;4;servicios;profesor;otro;padre;1;2;0;si;si;no;si;no;si;yes;no;4;4;4;1;1;3;2;13;12;12
50;II;M;16;U;menor_e3;J;2;2;servicios;servicios;habilidad;madre;3;2;0;no;si;no;no;si;si;yes;no;4;3;3;2;3;4;0;14;13;13
51;II;M;15;U;menor_e3;J;4;2;salud;otro;otro;madre;1;2;0;no;si;no;no;si;si;yes;no;4;3;3;1;1;5;0;16;14;16
52;II;H;15;U;menor_e3;S;4;2;salud;salud;otro;padre;2;1;0;no;no;no;no;si;si;no;no;5;5;5;3;4;5;4;10;9;9
53;II;M;15;U;mayor_3;J;4;4;servicios;servicios;habilidad;madre;1;1;0;si;si;no;no;si;si;yes;no;3;3;4;2;3;5;0;13;12;12
54;II;M;15;U;menor_e3;S;3;3;otro;otro;otro;madre;1;1;0;no;no;no;no;si;si;yes;no;5;3;4;4;4;1;0;13;12;13
55;II;M;16;U;mayor_3;S;2;1;otro;otro;otro;madre;1;2;0;no;no;no;si;si;si;yes;yes;5;3;4;1;1;2;2;12;13;12
56;II;M;15;U;mayor_3;S;4;3;servicios;servicios;reputacion;madre;1;2;0;no;si;no;si;si;si;yes;no;4;3;2;1;1;1;0;15;14;15
57;II;H;15;U;mayor_3;J;4;4;profesor;salud;reputacion;madre;1;2;0;no;si;no;si;si;si;no;no;3;2;2;1;1;5;8;15;15;16
58;II;H;15;U;menor_e3;J;1;2;otro;en_casa;recomendacion;padre;1;2;0;si;si;no;si;si;si;yes;no;4;3;2;1;1;5;0;14;13;14
59;II;M;16;U;mayor_3;J;4;2;servicios;otro;habilidad;madre;1;2;0;no;si;si;no;si;si;yes;no;4;2;3;1;1;5;2;16;15;16
60;II;M;16;R;mayor_3;J;4;4;salud;profesor;otro;madre;1;2;0;no;si;no;si;si;si;no;no;2;4;4;2;3;4;0;17;16;16
61;II;M;16;U;mayor_3;J;1;1;servicios;servicios;habilidad;padre;4;1;0;si;si;no;si;no;si;yes;yes;5;5;5;5;5;5;0;10;10;16
62;II;M;16;U;menor_e3;J;1;2;otro;servicios;reputacion;padre;1;2;0;si;no;no;si;si;si;yes;no;4;4;3;1;1;1;0;13;13;10
63;II;M;16;U;mayor_3;J;4;3;profesor;salud;recomendacion;madre;1;3;0;si;si;no;si;si;si;yes;no;3;4;4;2;4;4;0;14;13;13
64;II;M;15;U;menor_e3;J;4;3;servicios;servicios;reputacion;padre;1;2;0;si;no;no;si;si;si;yes;yes;4;4;4;2;4;2;0;13;12;12
65;II;M;16;U;menor_e3;J;4;3;profesor;servicios;habilidad;madre;3;2;0;no;si;no;si;si;si;yes;no;5;4;3;1;2;1;2;16;15;16
66;II;H;15;U;mayor_3;S;4;4;otro;servicios;reputacion;madre;1;4;0;no;si;no;si;no;si;yes;yes;1;3;3;5;5;3;0;11;12;12
67;II;M;16;U;mayor_3;J;3;1;servicios;otro;habilidad;madre;1;4;0;si;si;no;no;si;si;yes;no;4;3;3;1;2;5;0;10;9;10
68;II;M;15;R;menor_e3;J;2;2;salud;servicios;reputacion;madre;2;2;0;si;si;no;no;si;si;yes;no;4;1;3;1;3;4;0;11;10;11
69;II;M;15;R;menor_e3;J;3;1;otro;otro;reputacion;padre;2;4;0;no;si;no;no;no;si;yes;no;4;4;2;2;3;3;6;15;15;15
70;II;H;16;U;mayor_3;J;3;1;otro;otro;reputacion;padre;2;4;0;no;si;no;no;si;si;yes;no;4;3;2;1;1;5;2;13;11;11
71;II;H;15;U;mayor_3;J;4;2;otro;otro;habilidad;madre;1;4;0;no;no;no;no;si;si;yes;no;3;3;3;1;1;3;0;11;9;10
72;II;M;15;R;mayor_3;J;1;1;otro;otro;reputacion;madre;1;2;0;si;si;no;no;no;si;yes;yes;3;3;4;2;4;5;2;13;11;11
73;II;H;16;U;mayor_3;J;3;1;otro;otro;reputacion;madre;1;1;0;no;no;no;si;si;si;no;no;5;3;2;2;2;5;0;13;13;14
74;II;M;16;U;mayor_3;J;3;3;otro;servicios;recomendacion;madre;1;2;0;si;si;no;si;si;si;yes;no;4;3;3;2;4;5;4;11;11;11
75;II;H;15;U;mayor_3;J;4;3;profesor;otro;recomendacion;madre;1;2;0;no;si;no;si;si;si;yes;no;4;3;3;2;3;5;0;11;11;11
76;II;H;15;U;mayor_3;J;4;0;profesor;otro;habilidad;madre;2;4;0;no;no;no;si;si;si;yes;no;3;4;3;1;1;1;0;12;11;11
77;II;M;16;U;mayor_3;J;2;2;otro;otro;reputacion;madre;1;4;0;no;no;no;no;si;si;yes;yes;5;2;3;1;3;3;1;13;13;13
78;II;H;17;U;mayor_3;J;2;1;otro;otro;recomendacion;madre;2;1;3;si;si;no;si;si;no;yes;no;4;5;1;1;1;3;0;9;9;10
79;II;M;16;U;mayor_3;J;3;4;en_casa;otro;habilidad;madre;1;2;0;no;si;no;no;si;si;yes;no;2;4;3;1;2;3;14;12;11;11
80;II;H;15;U;mayor_3;J;2;3;otro;servicios;habilidad;padre;1;1;0;si;si;no;si;no;si;yes;yes;3;2;2;1;3;3;0;11;11;12
81;II;H;15;U;mayor_3;J;2;3;otro;otro;recomendacion;madre;1;3;0;si;no;no;no;no;si;yes;no;5;3;2;1;2;5;2;10;9;9
82;II;M;15;U;menor_e3;J;3;2;servicios;otro;reputacion;madre;1;2;0;no;si;no;no;si;si;yes;no;4;4;4;1;1;5;4;12;11;11
83;II;H;15;U;menor_e3;J;2;2;servicios;servicios;recomendacion;madre;2;2;0;no;no;si;si;si;si;yes;no;5;3;3;1;3;4;2;13;12;13
84;II;M;15;U;mayor_3;J;1;1;otro;otro;recomendacion;padre;1;2;0;no;si;no;si;no;si;yes;no;4;3;2;2;3;4;2;13;12;12
85;II;M;15;U;mayor_3;J;4;4;servicios;servicios;reputacion;padre;2;2;0;no;no;no;no;si;si;yes;yes;4;4;4;2;3;5;4;12;11;12
86;II;M;16;U;menor_e3;J;2;2;en_casa;otro;habilidad;madre;1;2;0;no;si;no;no;si;si;no;no;4;3;4;1;2;2;6;13;11;11
87;II;M;15;U;mayor_3;J;4;2;otro;otro;reputacion;madre;1;3;0;no;si;no;si;si;si;yes;no;5;3;3;1;3;1;4;15;15;15
88;II;H;16;U;mayor_3;J;2;2;servicios;otro;reputacion;padre;2;2;0;no;no;no;si;no;si;yes;no;4;4;2;1;1;3;6;12;10;11
89;II;H;16;U;menor_e3;S;4;4;profesor;salud;reputacion;madre;1;2;0;no;si;no;no;si;si;no;no;4;1;3;3;5;5;6;9;9;10
90;II;M;16;U;mayor_3;J;3;3;otro;otro;recomendacion;madre;1;3;0;no;si;no;no;si;si;yes;yes;4;3;3;1;3;4;2;9;11;11
91;II;M;15;U;mayor_3;J;4;3;servicios;otro;reputacion;madre;1;1;0;no;no;no;si;si;si;yes;no;4;5;5;1;3;1;6;14;13;13
92;II;M;16;U;menor_e3;J;3;1;otro;otro;recomendacion;padre;1;2;0;si;si;no;no;si;si;no;no;3;3;3;2;3;2;0;12;13;12
93;II;M;16;U;mayor_3;J;4;2;profesor;servicios;recomendacion;madre;2;2;0;no;si;no;si;si;si;yes;no;5;3;3;1;1;1;2;13;14;14
94;II;H;15;U;menor_e3;J;2;2;servicios;salud;reputacion;madre;1;4;0;no;si;no;si;si;si;yes;no;4;3;4;1;1;4;2;11;12;12
95;II;M;15;R;mayor_3;J;1;1;en_casa;otro;recomendacion;madre;2;4;0;si;si;si;si;si;si;yes;no;3;1;2;1;1;1;4;13;13;13
96;II;H;16;R;mayor_3;J;4;3;servicios;otro;reputacion;madre;2;1;0;si;si;si;si;no;si;yes;no;3;3;3;1;1;4;6;9;11;11
97;II;M;16;U;mayor_3;J;2;1;otro;otro;habilidad;madre;1;2;0;no;si;no;no;si;si;no;yes;4;3;5;1;1;5;0;13;12;12
98;II;M;16;U;mayor_3;J;4;4;otro;otro;reputacion;madre;1;1;0;no;no;no;si;no;si;yes;no;5;3;4;1;2;1;4;12;13;13
99;II;M;16;U;mayor_3;J;4;3;otro;en_casa;habilidad;madre;1;3;0;si;si;no;no;si;si;yes;no;5;3;5;1;1;3;2;12;13;13
100;II;H;16;U;mayor_3;J;4;4;servicios;servicios;otro;madre;1;1;0;si;si;no;si;si;si;yes;no;4;5;5;5;5;4;12;9;9;8
101;II;H;16;U;mayor_3;J;4;4;servicios;profesor;otro;padre;1;3;0;no;si;no;si;si;si;yes;yes;4;4;3;1;1;4;0;16;16;16
102;II;H;15;U;mayor_3;J;4;4;servicios;otro;habilidad;madre;1;1;0;no;si;si;si;no;si;yes;no;5;3;3;1;1;5;2;12;13;12
103;II;M;15;U;mayor_3;J;3;2;servicios;otro;recomendacion;madre;2;2;0;si;si;no;no;si;si;yes;no;4;3;5;1;1;2;16;11;10;10
104;II;H;15;U;mayor_3;S;3;4;servicios;otro;habilidad;madre;1;2;0;no;si;no;si;si;si;yes;no;5;4;4;1;1;1;0;16;16;16
105;II;M;15;U;mayor_3;S;3;3;otro;salud;reputacion;padre;1;4;0;si;no;no;no;si;si;no;no;4;3;3;1;1;4;10;10;10;10
106;II;M;15;U;mayor_3;J;2;2;otro;otro;habilidad;madre;1;4;0;si;si;no;no;si;si;yes;no;5;1;2;1;1;3;4;10;10;10
107;II;H;16;U;mayor_3;J;3;3;servicios;otro;recomendacion;padre;1;3;0;no;si;no;si;si;si;yes;no;5;3;3;1;1;5;4;13;14;14
108;II;H;15;R;mayor_3;J;4;4;otro;otro;recomendacion;padre;4;4;0;no;si;no;si;si;si;yes;yes;1;3;5;3;5;1;8;12;10;11
109;II;M;16;U;menor_e3;J;4;4;salud;salud;otro;madre;1;3;0;no;si;no;si;si;si;yes;yes;5;4;5;1;1;4;2;15;15;14
110;II;H;15;U;menor_e3;S;4;4;profesor;profesor;habilidad;madre;1;1;0;no;no;no;si;si;si;yes;no;5;5;3;1;1;4;4;13;14;14
111;II;M;16;R;mayor_3;J;3;3;servicios;otro;reputacion;padre;1;3;0;si;si;no;si;si;si;yes;no;4;1;2;1;1;2;4;11;11;11
112;II;M;16;U;mayor_3;J;2;2;en_casa;otro;recomendacion;madre;1;2;1;si;no;no;si;si;si;yes;no;3;1;2;1;1;5;12;8;10;10
113;II;H;15;U;menor_e3;J;4;2;profesor;otro;habilidad;madre;1;1;0;no;no;no;no;si;si;yes;no;3;5;2;1;1;3;10;18;17;18
114;II;H;15;R;mayor_3;J;2;1;salud;servicios;reputacion;madre;1;2;0;no;no;no;si;si;si;yes;yes;5;4;2;1;1;5;4;10;9;10
115;II;H;16;U;mayor_3;J;4;4;profesor;profesor;habilidad;padre;1;2;0;no;si;no;si;si;si;yes;no;5;4;4;1;2;5;6;16;14;14
116;II;H;15;U;mayor_3;J;4;4;otro;profesor;reputacion;padre;2;2;0;no;si;no;si;si;si;no;no;4;4;3;1;1;2;4;16;15;16
117;II;H;16;U;mayor_3;J;3;3;otro;servicios;recomendacion;padre;2;1;0;no;no;no;si;si;si;yes;no;5;4;2;1;1;5;6;14;14;15
118;II;H;17;R;mayor_3;J;1;3;otro;otro;habilidad;padre;3;2;1;no;si;no;si;si;si;yes;no;5;2;4;1;4;5;14;12;11;11
119;II;H;15;U;mayor_3;J;3;4;otro;otro;reputacion;padre;1;1;0;no;no;no;no;si;si;yes;no;3;4;3;1;2;4;2;14;13;14
120;II;M;15;U;mayor_3;J;1;2;en_casa;servicios;habilidad;madre;1;2;0;no;no;no;no;no;si;yes;no;3;2;3;1;2;1;0;14;14;14
121;II;H;15;U;mayor_3;J;2;2;servicios;servicios;recomendacion;padre;1;4;0;no;si;no;si;si;si;yes;no;5;5;4;1;2;5;6;14;13;13
122;II;M;16;U;menor_e3;J;2;4;otro;salud;habilidad;padre;2;2;0;no;si;no;si;si;si;yes;yes;4;2;2;1;2;5;2;14;12;13
123;II;H;16;U;mayor_3;J;4;4;salud;otro;habilidad;madre;1;1;0;no;si;no;si;si;si;yes;no;3;4;4;1;4;5;4;12;13;13
124;II;M;16;U;mayor_3;J;2;2;otro;otro;recomendacion;madre;1;2;0;no;no;no;no;si;si;yes;yes;5;4;4;1;1;5;0;12;11;11
125;II;H;15;U;mayor_3;J;3;4;servicios;servicios;recomendacion;padre;1;1;0;si;no;no;no;si;si;yes;no;5;5;5;3;2;5;2;9;9;9
126;II;M;15;U;menor_e3;S;3;4;otro;otro;recomendacion;madre;1;2;0;si;no;no;si;si;si;yes;yes;5;3;2;1;1;1;0;10;11;11
127;II;M;19;U;mayor_3;J;0;1;en_casa;otro;habilidad;otro;1;2;2;no;si;no;no;no;no;no;no;3;4;2;1;1;5;0;9;10;11
128;II;H;16;R;mayor_3;J;4;4;profesor;profesor;habilidad;madre;1;1;0;no;no;no;si;si;si;yes;no;3;5;5;2;5;4;8;14;14;15
129;II;H;16;U;mayor_3;J;2;3;otro;otro;habilidad;madre;2;3;0;no;si;no;no;no;si;yes;yes;3;2;3;2;2;1;4;13;12;13
130;II;M;15;R;mayor_3;J;3;4;servicios;profesor;habilidad;padre;2;3;0;no;si;no;no;si;si;yes;yes;4;2;2;2;2;5;0;10;11;12
131;II;M;18;U;mayor_3;J;2;1;servicios;otro;reputacion;madre;1;2;3;no;si;no;si;si;no;yes;yes;5;4;5;1;3;5;10;10;9;8
132;II;M;17;U;menor_e3;S;2;1;otro;otro;habilidad;madre;3;1;0;no;si;no;no;si;si;yes;no;3;2;2;1;2;5;8;11;10;11
133;II;M;15;U;mayor_3;J;1;1;en_casa;otro;habilidad;madre;3;1;0;no;si;no;si;no;si;yes;yes;4;3;3;1;2;4;6;11;12;13
134;II;M;17;U;menor_e3;J;2;2;otro;otro;habilidad;padre;1;1;0;no;si;no;no;si;si;yes;yes;3;4;4;1;3;5;2;13;12;12
135;II;M;16;U;mayor_3;S;3;4;servicios;otro;habilidad;padre;1;1;0;no;no;no;no;si;si;yes;no;3;2;1;1;4;5;12;15;13;14
136;II;H;16;U;mayor_3;J;2;1;en_casa;otro;habilidad;madre;4;1;0;no;no;no;no;si;si;no;no;3;2;1;1;1;2;4;9;9;11
137;II;M;16;U;mayor_3;S;2;2;otro;otro;recomendacion;madre;1;1;1;no;no;no;no;si;si;no;no;5;3;4;1;1;5;12;13;11;11
138;II;H;15;R;mayor_3;J;3;4;en_casa;profesor;habilidad;madre;4;2;0;no;si;no;no;si;si;no;yes;5;3;3;1;1;5;2;12;11;11
139;II;M;15;U;mayor_3;J;4;4;servicios;en_casa;habilidad;madre;1;3;0;no;si;no;si;si;si;yes;yes;4;3;3;1;1;5;4;13;14;15
140;II;H;17;R;mayor_3;J;3;4;en_casa;otro;habilidad;madre;3;2;0;no;no;no;no;si;si;no;no;5;4;5;2;4;5;2;10;9;10
141;II;M;16;R;mayor_3;J;1;1;en_casa;otro;habilidad;madre;4;2;0;no;si;no;no;si;si;no;no;5;1;3;1;1;3;0;14;13;13
142;II;H;18;U;menor_e3;J;3;1;servicios;servicios;habilidad;madre;2;1;0;no;no;no;si;si;si;yes;yes;3;3;4;4;5;4;2;11;11;12
143;II;M;18;U;mayor_3;S;3;2;otro;servicios;habilidad;otro;1;3;0;no;si;no;si;no;si;yes;yes;4;3;3;5;1;5;10;12;11;11
144;II;M;16;R;mayor_3;J;1;1;otro;servicios;reputacion;madre;2;1;0;no;si;no;si;si;si;no;yes;3;3;3;1;2;1;8;12;11;11
145;II;M;16;U;mayor_3;S;3;3;otro;otro;habilidad;otro;2;1;0;no;si;no;si;no;si;yes;yes;4;3;2;1;1;5;4;9;9;10
146;II;H;16;U;menor_e3;J;1;1;servicios;otro;habilidad;madre;1;2;2;no;no;no;no;si;si;no;yes;4;4;4;1;3;5;0;10;10;10
147;II;M;15;U;mayor_3;J;4;4;profesor;profesor;habilidad;madre;2;1;0;no;no;no;si;si;si;yes;no;4;3;2;1;1;5;6;13;14;14
148;II;M;15;R;mayor_3;J;1;1;otro;otro;habilidad;madre;3;1;1;no;no;no;si;si;si;yes;yes;5;5;5;1;1;1;2;8;9;9
149;II;H;15;U;mayor_3;J;4;3;profesor;servicios;habilidad;padre;2;4;0;si;si;no;no;si;si;yes;no;2;2;2;1;1;3;6;9;11;11
150;II;M;15;U;mayor_3;S;3;3;servicios;servicios;recomendacion;madre;1;2;0;no;no;no;no;no;si;no;yes;1;3;2;2;3;1;24;9;8;9
151;II;H;16;U;mayor_3;J;4;4;servicios;servicios;habilidad;madre;1;3;0;no;si;no;si;si;si;yes;no;5;3;3;1;3;5;0;15;13;13
152;II;H;16;U;menor_e3;J;2;2;servicios;servicios;reputacion;padre;2;1;0;no;si;no;si;si;si;yes;no;2;3;3;2;2;2;4;12;11;11
153;II;M;15;U;mayor_3;J;4;4;profesor;servicios;habilidad;madre;1;3;0;no;si;no;si;si;si;yes;no;4;2;2;1;1;5;2;13;13;13
154;II;M;16;U;menor_e3;J;1;1;en_casa;en_casa;habilidad;madre;1;1;0;no;no;no;no;si;si;yes;no;3;4;4;3;3;1;4;10;11;11
155;II;H;17;U;mayor_3;J;2;1;otro;otro;recomendacion;madre;1;1;0;no;si;no;no;si;si;yes;no;5;4;5;1;2;5;22;9;7;6
156;II;M;15;U;mayor_3;J;1;1;otro;servicios;habilidad;padre;1;2;0;no;si;no;no;si;si;yes;no;4;4;2;1;2;5;0;12;12;12
157;II;M;15;U;menor_e3;S;2;1;en_casa;otro;recomendacion;madre;2;1;0;no;si;no;si;si;no;yes;yes;4;4;2;1;1;5;0;11;10;10
158;II;M;15;U;mayor_3;J;3;2;salud;servicios;recomendacion;padre;1;2;1;no;si;no;no;si;si;yes;no;3;3;2;1;1;3;2;11;11;11
159;II;M;15;U;mayor_3;J;1;2;en_casa;otro;habilidad;madre;1;2;0;no;si;no;no;no;si;yes;no;4;3;2;1;1;5;6;13;12;13
160;II;M;15;U;mayor_3;J;1;2;en_casa;servicios;habilidad;padre;1;2;0;no;no;no;no;no;si;no;yes;2;3;4;2;4;1;6;11;11;11
161;II;H;16;U;mayor_3;J;4;4;profesor;profesor;habilidad;madre;1;1;0;no;si;no;no;si;no;yes;yes;3;3;2;2;1;5;16;9;9;8
162;II;H;15;U;menor_e3;S;2;1;servicios;otro;habilidad;madre;4;1;0;no;no;no;no;si;si;yes;no;4;5;5;2;5;5;0;12;11;11
163;II;H;18;U;menor_e3;J;1;1;otro;otro;habilidad;madre;1;1;2;no;no;no;no;si;no;yes;yes;2;3;5;2;5;4;0;11;9;0
164;II;H;16;U;menor_e3;J;2;1;en_casa;otro;habilidad;madre;1;1;1;no;no;no;si;si;si;no;yes;4;4;4;3;5;5;6;9;10;10
165;II;M;15;R;mayor_3;J;3;3;servicios;servicios;reputacion;otro;2;3;0;no;si;si;si;si;si;yes;yes;4;2;1;2;3;3;2;13;13;13
166;II;H;19;U;mayor_3;J;3;2;servicios;en_casa;recomendacion;madre;1;1;0;no;si;no;no;si;no;yes;yes;4;5;4;1;1;4;6;11;9;11
167;II;M;17;U;mayor_3;J;4;4;otro;profesor;habilidad;madre;1;1;0;si;si;no;no;si;si;no;yes;4;2;1;1;1;4;0;13;13;13
168;II;H;15;R;mayor_3;J;2;3;en_casa;servicios;habilidad;madre;1;2;0;si;no;si;si;si;si;no;no;4;4;4;1;1;1;0;7;8;8
